property_id	property_code	name
int	string	string
属性ID	属性code	名称
1	strength	力量
2	intellig	智慧
3	handle	出手速度
4	defence	防御
5	strength_attack_ratio	力量攻击增幅
6	strength_defence_ratio	力量防御增幅
7	intellig_attack_ratio	智慧攻击增幅
8	intellig_defence_ratio	智慧防御增幅
9	active_strength_attack_ratio	主动力量攻击增幅
10	active_strength_defence_ratio	主动力量防御增幅
11	active_intellig_attack_ratio	主动智慧攻击增幅
12	active_intellig_defence_ratio	主动智慧防御增幅
13	chase_attack_ratio	追击攻击增幅
14	chase_defence_ratio	追击防御增幅
15	splash_attack_ratio	溅射攻击增幅
16	splash_defence_ratio	溅射防御增幅
17	strike_attack_ratio	反击攻击增幅
18	strike_defence_ratio	反击防御增幅
19	active_skill_distance	主动技能距离
20	normal_skill_distance	普通技能距离
21	strength_chase_skill_rate	力量追击技能发动概率
22	wisdom_chase_skill_rate	智慧追击技能发动概率
23	power_active_skill_rate	力量主动技能发动概率
24	wisdom_active_skill_rate	智慧主动技能发动概率
